query_id,query_version,rank,memory_id,semantic_similarity,state_alignment,context_alignment,experience_alignment,final_ranking_score
Q001,base,1,M035956,1.0,1.0,1.0,1.0,1.0
Q001,base,2,M028549,0.9981349110603333,0.7142857142857143,0.9807776193272376,1.0,0.9940752983093262
Q001,base,3,M035537,0.9994309544563293,0.8571428571428571,0.9744138495092693,1.0,0.9932620525360107
Q001,base,4,M032957,0.9983353018760681,0.8571428571428571,0.96197571512457,1.0,0.9894951581954956
Q001,base,5,M028255,0.9990233778953552,0.7142857142857143,0.9601190476190476,1.0,0.9894437789916992
Q001,shifted,1,M035956,1.0,0.9591836734693878,1.0,1.0,1.0
Q001,shifted,2,M035537,0.9994309544563293,0.8163265306122449,0.9744138495092693,1.0,0.9932620525360107
Q001,shifted,3,M032957,0.9983353018760681,0.8163265306122449,0.96197571512457,1.0,0.9894951581954956
Q001,shifted,4,M025421,0.9980544447898865,0.9591836734693878,0.9598901098901099,1.0,0.9888051748275757
Q001,shifted,5,M031286,0.9980711340904236,0.8163265306122449,0.9506501132455332,1.0,0.9865051507949829
Q002,base,1,M060927,1.0,1.0,1.0,1.0,1.0
Q002,base,2,M080873,0.9988524913787842,1.0,0.9883996728462376,1.0,0.9964114427566528
Q002,base,3,M069758,0.998687744140625,0.9965986394557823,0.9790757906215921,1.0,0.9939815998077393
Q002,base,4,M085993,0.9992295503616333,0.819047619047619,0.9768947655398037,1.0,0.993761420249939
Q002,base,5,M047437,0.999078631401062,0.819047619047619,0.9770992366412213,1.0,0.9937219619750977
Q002,shifted,1,M060927,1.0,0.9924812030075189,1.0,1.0,1.0
Q002,shifted,2,M080873,0.9988524913787842,0.9924812030075189,0.9883996728462376,1.0,0.9964114427566528
Q002,shifted,3,M069758,0.998687744140625,0.9890798424633012,0.9790757906215921,1.0,0.9939815998077393
Q002,shifted,4,M085993,0.9992295503616333,0.8115288220551379,0.9768947655398037,1.0,0.993761420249939
Q002,shifted,5,M047437,0.999078631401062,0.8115288220551379,0.9770992366412213,1.0,0.9937219619750977
Q003,base,1,M079920,1.0,0.9714285714285714,1.0,1.0,1.0
Q003,base,2,M012821,0.9993844032287598,0.9734693877551022,0.9938522355507089,1.0,0.9980937242507935
Q003,base,3,M072610,0.9990502595901489,0.7925170068027212,0.9859187568157034,1.0,0.9959099292755127
Q003,base,4,M090781,0.999200701713562,0.7959183673469389,0.9743184296619412,1.0,0.9931000471115112
Q003,base,5,M004476,0.998794674873352,0.8115646258503402,0.9730234460196293,1.0,0.9925327301025391
Q003,shifted,1,M079920,1.0,0.980952380952381,1.0,1.0,1.0
Q003,shifted,2,M012821,0.9993844032287598,0.9448979591836736,0.9938522355507089,1.0,0.9980937242507935
Q003,shifted,3,M072610,0.9990502595901489,0.8401360544217688,0.9859187568157034,1.0,0.9959099292755127
Q003,shifted,4,M090781,0.999200701713562,0.8435374149659864,0.9743184296619412,1.0,0.9931000471115112
Q003,shifted,5,M004476,0.998794674873352,0.8210884353741498,0.9730234460196293,1.0,0.9925327301025391
Q004,base,1,M050078,1.0,0.8571428571428571,1.0,1.0,1.0
Q004,base,2,M059745,0.9982020854949951,0.8503401360544218,0.9780219780219781,1.0,0.9934267997741699
Q004,base,3,M049322,0.9965438842773438,0.8312925170068028,0.9580089757570673,1.0,0.9874286651611328
Q004,base,4,M059135,0.9978526830673218,0.8217687074829932,0.9417215418169617,1.0,0.9841419458389282
Q004,base,5,M091738,0.9967393279075623,0.8312925170068028,0.9236400050331348,1.0,0.9789535999298096
Q004,shifted,1,M050078,1.0,0.8571428571428571,1.0,1.0,1.0
Q004,shifted,2,M059745,0.9982020854949951,0.8503401360544218,0.9780219780219781,1.0,0.9934267997741699
Q004,shifted,3,M049322,0.9965438842773438,0.8312925170068028,0.9580089757570673,1.0,0.9874286651611328
Q004,shifted,4,M059135,0.9978526830673218,0.8217687074829932,0.9417215418169617,1.0,0.9841419458389282
Q004,shifted,5,M091738,0.9967393279075623,0.8312925170068028,0.9236400050331348,1.0,0.9789535999298096
Q005,base,1,M044080,1.0,0.9931972789115646,1.0,1.0,1.0
Q005,base,2,M084721,0.9992156624794006,0.834013605442177,0.9945474372955289,1.0,0.9981663227081299
Q005,base,3,M047189,0.9991359114646912,0.7108843537414966,0.9931570338058887,1.0,0.9977707862854004
Q005,base,4,M054335,0.998910665512085,0.8312925170068028,0.9934569247546347,1.0,0.9977105855941772
Q005,base,5,M095999,0.9986827373504639,0.7074829931972789,0.9858233369683751,1.0,0.9956655502319336
Q005,shifted,1,M044080,1.0,0.9659863945578231,1.0,1.0,1.0
Q005,shifted,2,M084721,0.9992156624794006,0.8068027210884354,0.9945474372955289,1.0,0.9981663227081299
Q005,shifted,3,M054335,0.998910665512085,0.8040816326530612,0.9934569247546347,1.0,0.9977105855941772
Q005,shifted,4,M099801,0.9989891648292542,0.9527031865377731,0.9836423118865867,1.0,0.9953041076660156
Q005,shifted,5,M021069,0.9986882209777832,0.7850340136054422,0.9774945474372955,1.0,0.993586540222168
Q006,base,1,M004727,1.0,0.9981203007518796,1.0,1.0,1.0
Q006,base,2,M016297,0.9977824687957764,0.8171679197994987,0.9870092693565977,1.0,0.9954218864440918
Q006,base,3,M014732,0.9978636503219604,0.7885964912280701,0.9806821994799094,1.0,0.9938887357711792
Q006,base,4,M090795,0.998614490032196,0.7802721088435375,0.9785850599781897,1.0,0.9938149452209473
Q006,base,5,M089503,0.9993441104888916,0.7885964912280701,0.9760087241003271,1.0,0.9936087131500244
Q006,shifted,1,M004727,1.0,0.9906015037593985,1.0,1.0,1.0
Q006,shifted,2,M016297,0.9977824687957764,0.8096491228070175,0.9870092693565977,1.0,0.9954218864440918
Q006,shifted,3,M014732,0.9978636503219604,0.7810776942355889,0.9806821994799094,1.0,0.9938887357711792
Q006,shifted,4,M090795,0.998614490032196,0.7727533118510562,0.9785850599781897,1.0,0.9938149452209473
Q006,shifted,5,M089503,0.9993441104888916,0.7810776942355889,0.9760087241003271,1.0,0.9936087131500244
Q007,base,1,M029944,1.000000238418579,1.0,1.0,1.0,1.0000001192092896
Q007,base,2,M030690,0.9987031817436218,0.8476190476190476,0.9678616866593964,1.0,0.991187334060669
Q007,base,3,M003265,0.9979531168937683,0.8244897959183675,0.9533966669462852,1.0,0.9871209859848022
Q007,base,4,M041095,0.9984678626060486,0.8285714285714285,0.9506410256410256,1.0,0.9867409467697144
Q007,base,5,M035734,0.9985516667366028,0.819047619047619,0.9494299275787824,1.0,0.9864885807037354
Q007,shifted,1,M029944,1.000000238418579,0.9619047619047619,1.0,1.0,1.0000001192092896
Q007,shifted,2,M030690,0.9987031817436218,0.8285714285714285,0.9678616866593964,1.0,0.991187334060669
Q007,shifted,3,M003265,0.9979531168937683,0.8244897959183675,0.9533966669462852,1.0,0.9871209859848022
Q007,shifted,4,M041095,0.9984678626060486,0.8476190476190476,0.9506410256410256,1.0,0.9867409467697144
Q007,shifted,5,M035734,0.9985516667366028,0.8571428571428571,0.9494299275787824,1.0,0.9864885807037354
Q008,base,1,M084575,1.0000001192092896,0.8571428571428571,1.0,1.0,1.0000001192092896
Q008,base,2,M076048,0.9997464418411255,0.8518617973505191,0.9964285714285713,1.0,0.9989550113677979
Q008,base,3,M065714,0.9995644688606262,0.707124955245256,0.994942748091603,1.0,0.9984743595123291
